ativo,nome,categoria,vitrine,imagem,referencia,tag,preco
sim,"Piso Duragres Copan Cinza Acetinado 71X71 Cx2,52M²",,Destaques,/assets/img-2503958638b0.webp,,Destaque,
sim,Piso Durag Copan Nude In 71X71,,Destaques,/assets/img-40ad59cb890a.webp,,Destaque,
sim,Piso Durag Alvorada Grafite In 71x71,,Destaques,/assets/img-bf740917652b.webp,,Destaque,
sim,copan rustico acetinado 71x71,,Destaques,/assets/img-be907d86f80c.webp,,Destaque,
sim,Tinta Rende e Cobre Muito 3.6L Branco - Suvinil,tintas,Promoção Da Semana,/assets/img-fa23c8cf4fb3.webp,28116,,
sim,Tinta Toque De Seda Acetinado 18L Branco - Suvinil,tintas,Promoção Da Semana,/assets/img-7ca3a542a05c.webp,11923,,
sim,"Tinta Seca Rápido Esmalte Brilhante 0,9L Branco - Suvinil",tintas,Promoção Da Semana,/assets/img-d2798b10097d.webp,24228,,
sim,"Self Base Toque de Seda AC A2 3,2L Suvinil",tintas,Promoção Da Semana,/assets/img-9078e9367287.webp,22126,,
sim,Telha Ondulada 1.53X1.10 6MM - Brasilit,telhas,Telhas,/assets/img-474648c35ca8.webp,23155,,
sim,Telha Ondulada PP Perfil 177 2.13X1.10 - Atco,telhas,Telhas,/assets/img-1358d618f948.webp,24392,,
sim,"Telha Eco Clássica Vermelha 2,00X0,95M - Onduline",telhas,Telhas,/assets/img-f2c6fc054d7b.webp,32323,,
sim,"Telha Ecológica Stilo 2,00X0,96M Verde - Onduline",telhas,Telhas,/assets/img-561880e52bde.webp,31624,,
sim,Cimento Exato CP IV 50KG - Cauê,cimento,Cimento,/assets/img-bf-cimento-exato-cp-iv-50kg-caue.webp,27447,,
sim,Cimento Estrutura 40KG CP-V - Cauê,cimento,Cimento,/assets/img-bf-cimento-estrutura-40kg-cp-v-caue.webp,13998,,
sim,Cimento Todas As Obras 50KG CPII - Votoran,cimento,Cimento,/assets/img-bf-cimento-todas-as-obras-50kg-cpii-votoran.webp,10009,,
sim,Cimento Uso Geral 50 Kg CPII - Cauê,cimento,Cimento,/assets/img-bf-cimento-uso-geral-50-kg-cpii-caue.webp,22114,,
sim,"Cabo Flexível 2,5MM 100M Vermelho - Sil Fios",eletrica,Novidades,/assets/img-e88379d3964a.webp,29920,Lançamento,
sim,"Cabo Flexível 1,5MM 100M Preto - Sil Fios",eletrica,Novidades,/assets/img-f0cb37b54a37.webp,29926,Lançamento,
sim,"Cabo Flexível 1,5MM 100M Azul - Sil Fios",eletrica,Novidades,/assets/img-a0c11dfb3c91.webp,29925,Lançamento,
sim,"Cabo Flexível 1,5MM 100M Branco - Sil Fios",eletrica,Novidades,/assets/img-6ee1b3a0c4e1.webp,29930,Lançamento,
sim,"Bloco Cerâmico 11,5 X 14 X 24 Vedação - Tec Brasil",cimento,Recomendados para você,/assets/img-f468628d8cdf.webp,31294,,
sim,Cimento CPIII 32RS 50KG - CSN,cimento,Recomendados para você,/assets/img-bf-cimento-cpiii-32rs-50kg-csn.webp,30137,,
sim,Areia Média Lavada Saco 20 KG Ensacada - Pedrasil,areia,Recomendados para você,/assets/img-f614e6824454.webp,21380,,
